key_person,source,value
0363830a,tsncards,64892
0363c605,tsncards,69125
0366b738,tsncards,13283
03673a95,tsncards,148587
03688c0c,findagrave,119207773
03689739,findagrave,179921250
03689739,tsncards,166662
036d7c69,tsncards,14123
036e238e,tsncards,107842
036fdedd,tsncards,52862
03700fb0,tsncards,66579
037392d6,tsncards,271
037997c0,tsncards,336
037f539c,tsncards,94114
03806298,tsncards,76728
038071d1,tsncards,10200
0380c172,tsncards,32884
03855373,tsncards,110458
0389c2f3,tsncards,142266
038c1262,findagrave,105079356
038c1262,tsncards,51434
03900c39,tsncards,29396
03903c5f,tsncards,32466
03919d2d,tsncards,79978
039295bb,tsncards,29872
03947c22,tsncards,13179
039c9b4c,tsncards,127925
039e311a,findagrave,144127678
03a08135,tsncards,14867
03a0d396,tsncards,149983
03a0ed86,findagrave,94772005
03a147f9,findagrave,117855679
03a147f9,tsncards,166320
03a52dec,findagrave,69624910
03a52dec,tsncards,49751
03a670d2,findagrave,184315735
03a670d2,tsncards,1614
03aa9a3e,findagrave,87047456
03aa9a3e,tsncards,121405
03ad0a10,findagrave,55958568
03adbc81,tsncards,135848
03b3cd2c,findagrave,284412891
03b3cd2c,tsncards,35792
03b46406,tsncards,66586
03b478b6,tsncards,149979
03b49900,findagrave,19705920
03b49900,tsncards,70889
03b5a141,tsncards,73959
03b7349a,findagrave,231811378
03b7349a,tsncards,10637
03bde219,tsncards,117308
03bde219,tsncards,16293
03be6845,tsncards,10914
03be6845,tsncards,18050
03bed544,tsncards,84473
03c385cc,tsncards,170376
03c4bc62,findagrave,59483797
03c4bc62,tsncards,16355
03c4bc62,tsncards,18784
03c88839,tsncards,373
03cfb721,findagrave,184516363
03cfb721,tsncards,559
03cfe6e8,tsncards,67560
03d57795,tsncards,100621
03d8d685,findagrave,181004478
03d8d685,tsncards,118629
03dad7fa,tsncards,146130
03ddb302,findagrave,63899896
03ddb302,tsncards,139208
03e2d86f,tsncards,811
03e2fa20,tsncards,149799
03e3a22b,tsncards,53675
03e5f19c,tsncards,163332
03e638f6,tsncards,17704
03e8eb90,findagrave,88981699
03e8eb90,tsncards,5613
03eaf19c,tsncards,149171
03eddeca,findagrave,103326270
03eddeca,tsncards,14982
03ef9651,tsncards,104106
03f2cb0e,tsncards,66551
03f3b60d,tsncards,138789
03f4c357,tsncards,13530
03f57696,tsncards,148984
03f57696,tsncards,26898
03f86af0,tsncards,155939
03f94ad0,tsncards,1038
03f94ad0,tsncards,2024
03f97331,findagrave,247481907
03f97331,tsncards,47425
03fbeb34,tsncards,154146
03fcdcff,tsncards,51619
040008b9,findagrave,166872967
040008b9,tsncards,118547
0400962e,tsncards,170802
040e1d5a,findagrave,98780669
040e67a4,tsncards,31270
0415160a,tsncards,58573
041a46d3,findagrave,76659349
041a46d3,tsncards,173840
041f9331,tsncards,74982
042270df,tsncards,56430
0422fdee,findagrave,217906514
04236ce7,findagrave,102248431
04236ce7,tsncards,91726
04237a48,tsncards,73472
0427f7c6,findagrave,211744316
0427f7c6,tsncards,163047
042a0553,tsncards,7220
042b63e1,tsncards,141040
042b9969,tsncards,90039
042ce7e0,findagrave,74007004
042ead53,tsncards,9685
042fdcd5,findagrave,198602697
042fdcd5,tsncards,438
043066fb,tsncards,181764
0436ae29,tsncards,148503
043a31e9,tsncards,31367
043d0e5e,tsncards,149525
043f993b,tsncards,83554
0444303e,tsncards,125185
