key_person,name_last,name_first,name_given,birth_year,birth_month,birth_day,altname_type,altname_lang,altname_last,altname_first,altname_given,altname_matrilineal,altname_nick,altname_date_start,altname_date_end
cd825e2f,Boley,Joe,John Peter,1896,7,19,legal,en,Bolinsky,Joe,John Peter,,,,
6a7e3045,Pena,Richard,Richard Bolivar,1987,8,15,alias,en,Bolivar,Richard,Richard,,,,
7c2ef077,Bohanon,Leo,Leo Ray,1920,,,alt-spelling,en,Bonahan,Leo,Leo,,,,
7205cc9d,Bonnabeaux,Jerry,Jerome George,1938,2,9,alt-spelling,en,Bonnabeau,Jerry,Jerome G.,,,,
20c7139c,Bonelly,Dick,Richard C.,1899,5,8,alt-spelling,en,Bonnelly,Dick,Richard C.,,,,
5b09dd93,Bonser,Boof,Boof,1981,10,14,birth,en,Bonser,Boof,John P.,,,,2001
80ae6ce9,Barnum,John,John,,,,legal,en,Bordamis,John,John,,,,
10fc7e57,Brief,Bunny,Anthony Vincent,1892,7,3,legal,en,Bordetski,Antonio,Antonio,,,,
7a25882d,Barr,Stephen,Stephen J.,,,,birth,en,Borowitz,Stephen,Stephen J.,,,,
ffeccdc3,Baris,Steve,Stephen B.,1947,8,14,birth,en,Boryczewski,Steve,Stephen,,,,
534cd0e9,Baraszcz,Joseph,Joseph,,,,alias,en,Bosko,Joseph,Joseph,,,,
b06d8a59,Hong,Lee,Lee Gun,1911,5,1,alias,en,Bowen,Albert,Albert,,,,
40d46c0e,Karcher-Bowen,Brett,Brett,,,,alias,en,Bowen,Brett,Brett,,,2016,2016
266a7af6,Boyat,Milton,Milton,1923,11,20,alt-spelling,en,Boyet,Milton,Milton,,,,
1c1f2310,Bratkowitz,Andrew,Andrew John,1929,1,25,alias,en,Brack,Andrew,Andrew John,,,,
4fac0f5b,Sadofsky,Nat,Nat,,,,alias,en,Bradley,,,,,1913,1913
9123bd6f,Bredenhagen,Herbert,Herbert Funk,1886,8,18,alias,en,Brady,Herbert,Herbert Funk,,,,
c5c58eab,Brady,Maya,Maya Ann,,,,birth,en,Brady-Timmons,Maya,Maya Ann,,,,
59729476,Bracken,Doc,Herbert,1915,5,12,alias,en,Bragaña,Alfredo,Alfredo,,,,
ab351c54,Brathwaite,Alonso,Hiram Alonso,1930,2,18,alt-spelling,en,Braithwaite,Alonso,Hiram Alonso,,,,
